run_id,agent,agent_toxicity,platform_name,action_type,value,time_period
run4,agent_5,0.27172,Toxic Model 1,ban,1.0,1
run4,agent_1,0.672653,Toxic Model 2,warning,1.0,1
run4,agent_5,0.27172,Toxic Model 1,warning,2.0,1
run4,agent_0,0.870639,Toxic Model 1,ban,1.0,50
run4,agent_1,0.672653,Toxic Model 1,ban,1.0,50
run4,agent_1,0.672653,Toxic Model 2,ban,2.0,50
run4,agent_2,0.587706,Toxic Model 1,ban,1.0,50
run4,agent_3,0.255014,Toxic Model 1,ban,1.0,50
run4,agent_4,0.593045,Toxic Model 1,ban,1.0,50
run4,agent_4,0.593045,Toxic Model 2,ban,2.0,50
run4,agent_5,0.27172,Toxic Model 1,ban,1.0,50
run4,agent_6,0.270481,Toxic Model 1,ban,1.0,50
run4,agent_7,0.0959302,Toxic Model 1,ban,1.0,50
run4,agent_7,0.0959302,Toxic Model 2,ban,2.0,50
run4,agent_8,0.632556,Toxic Model 1,ban,1.0,50
run4,agent_8,0.632556,Toxic Model 2,ban,2.0,50
run4,agent_9,0.1,Toxic Model 1,ban,1.0,50
run4,agent_0,0.870639,Toxic Model 1,warning,2.0,50
run4,agent_0,0.870639,Toxic Model 2,warning,8.0,50
run4,agent_1,0.672653,Toxic Model 1,warning,2.0,50
run4,agent_1,0.672653,Toxic Model 2,warning,12.0,50
run4,agent_2,0.587706,Toxic Model 1,warning,2.0,50
run4,agent_3,0.255014,Toxic Model 1,warning,2.0,50
run4,agent_3,0.255014,Toxic Model 2,warning,7.0,50
run4,agent_4,0.593045,Toxic Model 1,warning,2.0,50
run4,agent_4,0.593045,Toxic Model 2,warning,12.0,50
run4,agent_5,0.27172,Toxic Model 1,warning,2.0,50
run4,agent_5,0.27172,Toxic Model 2,warning,2.0,50
run4,agent_6,0.270481,Toxic Model 1,warning,2.0,50
run4,agent_6,0.270481,Toxic Model 2,warning,4.0,50
run4,agent_7,0.0959302,Toxic Model 1,warning,2.0,50
run4,agent_7,0.0959302,Toxic Model 2,warning,12.0,50
run4,agent_8,0.632556,Toxic Model 1,warning,2.0,50
run4,agent_8,0.632556,Toxic Model 2,warning,12.0,50
run4,agent_9,0.1,Toxic Model 1,warning,2.0,50
run4,agent_0,0.870639,Toxic Model 1,ban,1.0,99
run4,agent_0,0.870639,Toxic Model 2,ban,2.0,99
run4,agent_1,0.672653,Toxic Model 1,ban,1.0,99
run4,agent_1,0.672653,Toxic Model 2,ban,2.0,99
run4,agent_2,0.587706,Toxic Model 1,ban,1.0,99
run4,agent_3,0.255014,Toxic Model 1,ban,1.0,99
run4,agent_4,0.593045,Toxic Model 1,ban,1.0,99
run4,agent_4,0.593045,Toxic Model 2,ban,2.0,99
run4,agent_5,0.27172,Toxic Model 1,ban,1.0,99
run4,agent_6,0.270481,Toxic Model 1,ban,1.0,99
run4,agent_6,0.270481,Toxic Model 2,ban,2.0,99
run4,agent_7,0.0959302,Toxic Model 1,ban,1.0,99
run4,agent_7,0.0959302,Toxic Model 2,ban,2.0,99
run4,agent_8,0.632556,Toxic Model 1,ban,1.0,99
run4,agent_8,0.632556,Toxic Model 2,ban,2.0,99
run4,agent_9,0.1,Toxic Model 1,ban,1.0,99
run4,agent_0,0.870639,Toxic Model 1,warning,2.0,99
run4,agent_0,0.870639,Toxic Model 2,warning,12.0,99
run4,agent_1,0.672653,Toxic Model 1,warning,2.0,99
run4,agent_1,0.672653,Toxic Model 2,warning,12.0,99
run4,agent_2,0.587706,Toxic Model 1,warning,2.0,99
run4,agent_2,0.587706,Toxic Model 2,warning,7.0,99
run4,agent_3,0.255014,Toxic Model 1,warning,2.0,99
run4,agent_3,0.255014,Toxic Model 2,warning,8.0,99
run4,agent_4,0.593045,Toxic Model 1,warning,2.0,99
run4,agent_4,0.593045,Toxic Model 2,warning,12.0,99
run4,agent_5,0.27172,Toxic Model 1,warning,2.0,99
run4,agent_5,0.27172,Toxic Model 2,warning,7.0,99
run4,agent_6,0.270481,Toxic Model 1,warning,2.0,99
run4,agent_6,0.270481,Toxic Model 2,warning,12.0,99
run4,agent_7,0.0959302,Toxic Model 1,warning,2.0,99
run4,agent_7,0.0959302,Toxic Model 2,warning,12.0,99
run4,agent_8,0.632556,Toxic Model 1,warning,2.0,99
run4,agent_8,0.632556,Toxic Model 2,warning,12.0,99
run4,agent_9,0.1,Toxic Model 1,warning,2.0,99
run4,agent_9,0.1,Toxic Model 2,warning,2.0,99
run4,agent_5,0.27172,Toxic Model 2,toxicity overload,,99
